month,trip_id,vehicle_id,started_at,ended_at,duration,start_location_name,end_location_name,user_id,trip_ledger_id
June,1763875,8213406,2019-06-02 18:00:00,6/2/2019 18:16,0:15:52,"1216 Lomas Blvd NW, Albuquerque, NM 87102, USA","102 Hazeldine Ave SW, Albuquerque, NM 87102, USA",37748573,1634335
June,1763894,9570873,2019-06-02 18:01:00,6/2/2019 18:09,0:07:32,"1300 Central Ave NE, Albuquerque, NM 87106, USA","2550 Central Ave NE, Albuquerque, NM 87106, USA",37802276,1634173
June,1763903,9588194,2019-06-02 18:01:00,6/2/2019 18:33,0:31:13,"411 Marquette Ave NW, Albuquerque, NM 87102, USA","1898 Mountain Rd NW, Albuquerque, NM 87104, USA",37973658,1634738
June,1763961,6779460,2019-06-02 18:03:00,6/2/2019 18:13,0:09:09,"101 State Hwy 313, Albuquerque, NM 87102, USA","220 4th St NW, Albuquerque, NM 87102, USA",35558530,1634262
June,1763983,4620727,2019-06-02 18:04:00,6/2/2019 18:13,0:08:20,"2002 Central Ave SW, Albuquerque, NM 87104, USA","Rio Grande @ Mountain, Albuquerque, NM 87104, USA",37957954,1634264
June,1763984,5925396,2019-06-02 18:04:00,6/2/2019 18:13,0:08:23,"2002 Central Ave SW, Albuquerque, NM 87104, USA","Rio Grande @ Mountain, Albuquerque, NM 87104, USA",31864129,1634267
June,1764008,9539011,2019-06-02 18:06:00,6/2/2019 18:09,0:03:07,"411 Marquette Ave NW, Albuquerque, NM 87102, USA","411 Marquette Ave NW, Albuquerque, NM 87102, USA",36704197,1634183
June,1764036,5512242,2019-06-02 18:07:00,6/2/2019 18:12,0:05:21,"2956 Central Ave SE, Albuquerque, NM 87106, USA","202 Bryn Mawr Dr SE, Albuquerque, NM 87106, USA",35595911,1634260
June,1764048,8353188,2019-06-02 18:07:00,6/2/2019 18:12,0:04:59,"3005 Central Ave NE, Albuquerque, NM 87106, USA","202 Bryn Mawr Dr SE, Albuquerque, NM 87106, USA",35555440,1634258
June,1764064,3837912,2019-06-02 18:08:00,6/2/2019 18:21,0:12:56,"2002 Central Ave SW, Albuquerque, NM 87104, USA","225 Gold Ave SW, Albuquerque, NM 87102, USA",35795570,1634462
